File_Path,File_Size,Rule,Description
E:Users\victim1903\Documents\File\File001,10768,Suspect_Group_PE_DOS_Stub,Matches multiple PE files with standard DOS stub
E:Users\victim1903\Documents\File\File002,556,Suspect_Group_File002,Matches File002
E:Users\victim1903\Documents\File\File003,1855,Suspect_Group_File003,Matches File003
E:Users\victim1903\Documents\File\File004,149,Suspect_Group_File004,Matches File004
E:Users\victim1903\Documents\File\File005,2560,Suspect_Group_PE_DOS_Stub,Matches multiple PE files with standard DOS stub
E:Users\victim1903\Documents\File\File006,4319474,Suspect_Group_File006,Matches File006 (ZIP archive)
E:Users\victim1903\Documents\File\File007,1013332,Suspect_Group_File007,Matches File007 (ZIP archive)
E:Users\victim1903\Documents\File\File008,1617304,Suspect_Group_File008,Matches File008 (PNG image)
E:Users\victim1903\Documents\File\File009,1726586,Suspect_Group_File009,Matches File009 (PNG image)
E:Users\victim1903\Documents\File\File010,4155280,Suspect_Group_File010,Matches File010 (ZIP archive)
E:Users\victim1903\Documents\File\File011,12996644,Suspect_Group_File011,Matches File011 (ZIP archive)
E:Users\victim1903\Documents\File\File012,28659,Suspect_Group_File012,Matches File012 (ZIP archive)
E:Users\victim1903\Documents\File\File013,814,Suspect_Group_File013,Matches File013
E:Users\victim1903\Documents\File\File014,3050393,Suspect_Group_File014,Matches File014 (ZIP archive)
E:Users\victim1903\Documents\File\File015,164,Suspect_Group_File015,Matches File015
E:Users\victim1903\Documents\File\File016,87,Suspect_Group_File016,Matches File016
E:Users\victim1903\Documents\File\File017,4810789,Suspect_Group_File017,Matches File017 (ZIP archive)
E:Users\victim1903\Documents\File\File018,407134,Suspect_Group_File018,Matches File018 (PDF)
E:Users\victim1903\Documents\File\File019,1651234,Suspect_Group_File019,Matches File019 (PNG)
E:Users\victim1903\Documents\File\File020,38102,Suspect_Group_File020,Matches File020
E:Users\victim1903\Documents\File\File021,35182,Suspect_Group_File021,Matches File021
E:Users\victim1903\Documents\File\File022,185443,Suspect_Group_File022,Matches File022 (PDF)
E:Users\victim1903\Documents\File\File023,686849,Suspect_Group_File023,Matches File023 (ID3)
E:Users\victim1903\Documents\File\File024,3072,Suspect_Group_PE_DOS_Stub,Matches multiple PE files with standard DOS stub
E:Users\victim1903\Documents\File\File025,23832,Suspect_Group_PE_DOS_Stub,Matches multiple PE files with standard DOS stub
E:Users\victim1903\Documents\File\File026,35821,Suspect_Group_File026,Matches File026
E:Users\victim1903\Documents\File\File027,3584,Suspect_Group_PE_DOS_Stub,Matches multiple PE files with standard DOS stub
E:Users\victim1903\Documents\File\File028,109,Suspect_Group_File028,Matches File028
E:Users\victim1903\Documents\File\File029,273,Suspect_Group_File029,Matches File029
E:Users\victim1903\Documents\File\File030,5379567,Suspect_Group_File030,Matches File030 (ZIP archive)
E:Users\victim1903\Documents\File\File031,59159,Suspect_Group_File031,Matches File031 (ZIP archive)
E:Users\victim1903\Documents\File\File032,176259,Suspect_Group_File032,Matches File032 (ZIP archive)
E:Users\victim1903\Documents\File\File033,31332,Suspect_Group_File033,Matches File033 (ZIP archive)
E:Users\victim1903\Documents\File\File034,77,Suspect_Group_File034,Matches File034
E:Users\victim1903\Documents\File\File035,3097388,Suspect_Group_File035,Matches File035 (ZIP archive)
E:Users\victim1903\Documents\File\File036,1417519,Suspect_Group_File036,Matches File036 (PNG)
E:Users\victim1903\Documents\File\File037,266343,Suspect_Group_File037,Matches File037 (ZIP archive)
E:Users\victim1903\Documents\File\File038,5125758,Suspect_Group_File038,Matches File038 (CD)
E:Users\victim1903\Documents\File\File039,608,Suspect_Group_File039,Matches File039
E:Users\victim1903\Documents\File\File040,168,Suspect_Group_File040,Matches File040
E:Users\victim1903\Documents\File\File041,1640375,Suspect_Group_File041,Matches File041 (PNG)
E:Users\victim1903\Documents\File\File042,11280,Suspect_Group_PE_DOS_Stub,Matches multiple PE files with standard DOS stub
E:Users\victim1903\Documents\File\File043,106799,Suspect_Group_File043_2,Matches File043 (ZIP archive - Word document)
E:Users\victim1903\Documents\File\File044,229,Suspect_Group_File044,Matches File044
E:Users\victim1903\Documents\File\File045,137878,Suspect_Group_File045,Matches File045 (JPEG)
E:Users\victim1903\Documents\File\File046,80947,Suspect_Group_File046,Matches File046 (MZ)
E:Users\victim1903\Documents\File\File047,1082258,Suspect_Group_PE_DOS_Stub,Matches multiple PE files with standard DOS stub
E:Users\victim1903\Documents\File\File048,831,Suspect_Group_File048,Matches File048
E:Users\victim1903\Documents\File\File049,1804,Suspect_Group_File049,Matches File049
E:Users\victim1903\Documents\File\File050,86,Suspect_Group_File050,Matches File050
E:Users\victim1903\Documents\File\File051,716249,Suspect_Group_PE_DOS_Stub,Matches multiple PE files with standard DOS stub
E:Users\victim1903\Documents\File\File052,146273,Suspect_Group_File052,Matches File052 (JPEG)
E:Users\victim1903\Documents\File\File053,173909,Suspect_Group_File053,Matches File053 (JPEG)
E:Users\victim1903\Documents\File\File054,628,Suspect_Group_File054,Matches File054
E:Users\victim1903\Documents\File\File055,844097,Suspect_Group_File055,Matches File055 (ZIP archive - PowerPoint)
E:Users\victim1903\Documents\File\File056,340390,Suspect_Group_File056,Matches File056 (ZIP archive)
E:Users\victim1903\Documents\File\File057,691,Suspect_Group_File057,Matches File057
E:Users\victim1903\Documents\File\File058,23112,Suspect_Group_File058,Matches File058
E:Users\victim1903\Documents\File\File059,1720207,Suspect_Group_File059,Matches File059 (PNG)
E:Users\victim1903\Documents\File\File060,3072,Suspect_Group_PE_DOS_Stub,Matches multiple PE files with standard DOS stub
E:Users\victim1903\Documents\File\File061,106,Suspect_Group_File061,Matches File061
E:Users\victim1903\Documents\File\File062,11272,Suspect_Group_PE_DOS_Stub,Matches multiple PE files with standard DOS stub
E:Users\victim1903\Documents\File\File063,1962050,Suspect_Group_File063,Matches File063 (ID3)
E:Users\victim1903\Documents\File\File064,2138,Suspect_Group_File064,Matches File064
E:Users\victim1903\Documents\File\File065,756,Suspect_Group_File065,Matches File065
E:Users\victim1903\Documents\File\File066,3259060,Suspect_Group_File066,Matches File066 (PDF)
E:Users\victim1903\Documents\File\File067,366608,Suspect_Group_File067,Matches File067 (MZ variant)
E:Users\victim1903\Documents\File\File068,1485481,Suspect_Group_File068,Matches File068 (PNG)
E:Users\victim1903\Documents\File\File069,170993,Suspect_Group_File069,Matches File069 (PNG/JPEG hybrid)
E:Users\victim1903\Documents\File\File070,1645439,Suspect_Group_File070,Matches File070 (PNG)
E:Users\victim1903\Documents\File\File071,11792,Suspect_Group_PE_DOS_Stub,Matches multiple PE files with standard DOS stub
E:Users\victim1903\Documents\File\File072,1655833,Suspect_Group_File072,Matches File072 (PNG)
E:Users\victim1903\Documents\File\File073,157801,Suspect_Group_File073,Matches File073 (JPEG)
E:Users\victim1903\Documents\File\File074,7213107,Suspect_Group_File074,Matches File074 (ZIP archive)
E:Users\victim1903\Documents\File\File075,341331,Suspect_Group_PE_DOS_Stub,Matches multiple PE files with standard DOS stub
E:Users\victim1903\Documents\File\File076,115731,Suspect_Group_File076_2,Matches File076 (ZIP archive - Word header)
E:Users\victim1903\Documents\File\File077,603,Suspect_Group_File077,Matches File077
E:Users\victim1903\Documents\File\File078,160610,Suspect_Group_File078,Matches File078 (JPEG)
