File Name,File Path,Detected Type
LICENSE,C:\Program Files\cursor\resources\app\node_modules\big-integer\LICENSE,Unknown
FON6R3DRrf7kvQ,C:\ProgramData\CPUID Software\sdk\FON6R3DRrf7kvQ,PE/EXE
LICENSE,C:\Users\Vigilante\AppData\Local\Arduino15\libraries\Keyboard\LICENSE,Unknown
yMHMKtUdh,C:\ProgramData\CPUID Software\sdk\yMHMKtUdh,PE/EXE
f_00b2f4,C:\Users\Vigilante\AppData\Local\BraveSoftware\Brave-Browser\User Data\Default\Cache\Cache_Data\f_00b2f4,JPEG
f_0002d7,C:\Users\Vigilante\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_0002d7,PE/EXE
f_0001fb,C:\Users\Vigilante\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_0001fb,PE/EXE
f_0001ab,C:\Users\Vigilante\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_0001ab,PE/EXE
File158,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File158,"UTF-8(TEXT,BOM)"
File148,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File148,Unknown
File091,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File091,Unknown
File151,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File151,ZIP
File164,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File164,PE/EXE
File092,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File092,PE/EXE
File121,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File121,ZIP
File122,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File122,ZIP
File179,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File179,Unknown
File123,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File123,PDF
File124,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File124,JPEG
File205,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File205,JPEG
File125,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File125,PNG
File147,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File147,Unknown
File178,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File178,"UTF-8(TEXT,BOM)"
File126,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File126,PNG
File177,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File177,PE/EXE
File127,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File127,JPEG
File165,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File165,"UTF-8(TEXT,BOM)"
File128,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File128,Unknown
File168,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File168,Unknown
File129,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File129,PDF
File199,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File199,PDF
File130,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File130,ZIP
File131,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File131,ZIP
File155,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File155,PE/EXE
File132,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File132,PDF
File133,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File133,JPEG
File167,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File167,Unknown
File134,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File134,ZIP
